RoundToMonth,TagName,TagCount
2015-07,angularjs,7699
2015-07,backbone.js,274
2015-07,ember.js,459
2015-07,extjs,239
2015-07,jquery-ui,392
2015-07,kendo-ui,280
2015-07,knockout.js,257
2015-07,meteor,928
2015-07,polymer,338
2015-07,reactjs,696
2015-07,twitter-bootstrap,2207
2015-07,zurb-foundation,62
2015-06,angularjs,6697
2015-06,backbone.js,253
2015-06,ember.js,470
2015-06,extjs,282
2015-06,jquery-ui,412
2015-06,kendo-ui,324
2015-06,knockout.js,272
2015-06,meteor,880
2015-06,polymer,369
2015-06,reactjs,549
2015-06,twitter-bootstrap,2067
2015-06,zurb-foundation,87
2015-05,angularjs,6390
2015-05,backbone.js,230
2015-05,ember.js,416
2015-05,extjs,286
2015-05,jquery-ui,348
2015-05,kendo-ui,309
2015-05,knockout.js,220
2015-05,meteor,798
2015-05,polymer,208
2015-05,reactjs,455
2015-05,twitter-bootstrap,2002
2015-05,zurb-foundation,84
2015-04,angularjs,5862
2015-04,backbone.js,211
2015-04,ember.js,436
2015-04,extjs,278
2015-04,jquery-ui,357
2015-04,kendo-ui,298
2015-04,knockout.js,243
2015-04,meteor,864
2015-04,polymer,161
2015-04,reactjs,472
2015-04,twitter-bootstrap,1927
2015-04,zurb-foundation,81
2015-03,angularjs,5980
2015-03,backbone.js,269
2015-03,ember.js,477
2015-03,extjs,305
2015-03,jquery-ui,421
2015-03,kendo-ui,317
2015-03,knockout.js,299
2015-03,meteor,819
2015-03,polymer,181
2015-03,reactjs,399
2015-03,twitter-bootstrap,1885
2015-03,zurb-foundation,89
2015-02,angularjs,5144
2015-02,backbone.js,230
2015-02,ember.js,456
2015-02,extjs,278
2015-02,jquery-ui,356
2015-02,kendo-ui,308
2015-02,knockout.js,246
2015-02,meteor,684
2015-02,polymer,184
2015-02,reactjs,346
2015-02,twitter-bootstrap,1715
2015-02,zurb-foundation,101
2015-01,angularjs,5157
2015-01,backbone.js,271
2015-01,ember.js,506
2015-01,extjs,272
2015-01,jquery-ui,345
2015-01,kendo-ui,270
2015-01,knockout.js,274
2015-01,meteor,648
2015-01,polymer,245
2015-01,reactjs,207
2015-01,twitter-bootstrap,1637
2015-01,zurb-foundation,115
2014-12,angularjs,4597
2014-12,backbone.js,263
2014-12,ember.js,456
2014-12,extjs,255
2014-12,jquery-ui,287
2014-12,kendo-ui,258
2014-12,knockout.js,215
2014-12,meteor,550
2014-12,polymer,214
2014-12,reactjs,173
2014-12,twitter-bootstrap,1444
2014-12,zurb-foundation,106
